stock,Date,Open,High,Low,Close,Adj Close,Volume
bbl.bk,2020-12-29,118.500000,121.500000,118.500000,121.000000,121.000000,4560600
bbl.bk,2020-12-30,122.000000,123.000000,118.000000,118.500000,118.500000,7153100
