stock,Date,Open,High,Low,Close,Adj Close,Volume
scc.bk,2020-12-29,373.000000,382.000000,373.000000,382.000000,382.000000,2209400
scc.bk,2020-12-30,383.000000,383.000000,378.000000,378.000000,378.000000,2244700
